cohort,total_patients,measurement,driver,total_driver_events,covariate,est,se,pval,correlation_ATRX,correlation_POT1,correlation_TERT,total_ATRX,total_POT1,total_TERT,total_cooccurrence_ATRX,total_cooccurrence_POT1,total_cooccurrence_TERT,frac_cooccurrence_ATRX,frac_cooccurrence_POT1,frac_cooccurrence_TERT,colors,main_driver,min_p
Pan-Cancer,28040,purity_svTMB,TBL1XR1,940,+ as.factor(cohort) + as.factor(biopsy) + purity + purity_ploidy,0.0884789575861696,0.00504017093537059,1.27779636091413e-68,0.02,0.01,-0.03,1284,376,3564,68,16,76,0.05,0.04,0.02,Positive (p < .1),DELETION,1.27779636091413e-68
Pan-Cancer,28040,purity_svTMB,UBR5,612,+ as.factor(cohort) + as.factor(biopsy) + purity + purity_ploidy,0.0872314664933203,0.00503737494194412,7.84111671329024e-67,0.01,-0.01,-0.01,1284,376,3564,36,4,60,0.03,0.01,0.02,Positive (p < .1),MUTATION,7.84111671329024e-67
Pan-Cancer,28040,purity_svTMB,BRCA1,396,+ as.factor(cohort) + as.factor(biopsy) + purity + purity_ploidy,0.0840349661925184,0.00503347718987295,2.84550231218137e-62,-0.01,-0.01,-0.01,1284,376,3564,8,0,44,0.01,0,0.01,Positive (p < .1),MUTATION,2.84550231218137e-62
Pan-Cancer,28040,purity_svTMB,CRYBG1,284,+ as.factor(cohort) + as.factor(biopsy) + purity + purity_ploidy,0.0835186383957213,0.00505297391418744,4.45276830912403e-61,0.03,-0.01,0.01,1284,376,3564,32,0,44,0.02,0,0.01,Positive (p < .1),AMPLIFICATION,4.45276830912403e-61
Pan-Cancer,28040,purity_svTMB,FHIT,1228,+ as.factor(cohort) + as.factor(biopsy) + purity + purity_ploidy,0.0852648647310656,0.00516530939307476,6.32696667464287e-61,-0.01,0,-0.04,1284,376,3564,44,16,84,0.03,0.04,0.02,Positive (p < .1),DELETION,6.32696667464287e-61
Pan-Cancer,28040,purity_svTMB,NSD1,436,+ as.factor(cohort) + as.factor(biopsy) + purity + purity_ploidy,0.0820239492635881,0.00502927146036073,1.5964550928862e-59,0.04,0,-0.02,1284,376,3564,48,4,36,0.04,0.01,0.01,Positive (p < .1),MUTATION,1.5964550928862e-59
Pan-Cancer,28040,purity_svTMB,ZNRF3,904,+ as.factor(cohort) + as.factor(biopsy) + purity + purity_ploidy,0.0821633266796256,0.00504589039005564,2.43656397902492e-59,0,0.01,0,1284,376,3564,44,20,108,0.03,0.05,0.03,Positive (p < .1),MUTATION,2.43656397902492e-59
Pan-Cancer,28040,purity_svTMB,SPEN,508,+ as.factor(cohort) + as.factor(biopsy) + purity + purity_ploidy,0.0810843213684998,0.00503038196768552,3.43842298887837e-58,0.04,-0.01,-0.01,1284,376,3564,52,4,48,0.04,0.01,0.01,Positive (p < .1),MUTATION,3.43842298887837e-58
Pan-Cancer,28040,purity_svTMB,CCNE1,656,+ as.factor(cohort) + as.factor(biopsy) + purity + purity_ploidy,0.0784593644476103,0.00506382855811444,6.37619592067711e-54,0.02,-0.01,-0.01,1284,376,3564,48,4,64,0.04,0.01,0.02,Positive (p < .1),AMPLIFICATION,6.37619592067711e-54
Pan-Cancer,28040,purity_svTMB,KMT2C,2348,+ as.factor(cohort) + as.factor(biopsy) + purity + purity_ploidy,0.077645132677389,0.00506082330665813,6.54507053073742e-53,0.03,0.01,-0.04,1284,376,3564,160,44,200,0.12,0.12,0.06,Positive (p < .1),MUTATION,6.54507053073742e-53
Pan-Cancer,28040,purity_svTMB,USP32,396,+ as.factor(cohort) + as.factor(biopsy) + purity + purity_ploidy,0.0777537175016314,0.00507355892901949,8.49933627884131e-53,-0.02,0.01,-0.02,1284,376,3564,4,8,24,0,0.02,0.01,Positive (p < .1),AMPLIFICATION,8.49933627884131e-53
Pan-Cancer,28040,purity_svTMB,TP63,632,+ as.factor(cohort) + as.factor(biopsy) + purity + purity_ploidy,0.0761017086386619,0.00504172571867191,2.8093172259775e-51,0.02,0.02,0,1284,376,3564,44,20,84,0.03,0.05,0.02,Positive (p < .1),MUTATION,2.8093172259775e-51
Pan-Cancer,28040,purity_svTMB,DMD,1008,+ as.factor(cohort) + as.factor(biopsy) + purity + purity_ploidy,0.0772123861450166,0.00513227316657957,5.94198962566073e-51,0.03,0.02,-0.04,1284,376,3564,80,24,64,0.06,0.06,0.02,Positive (p < .1),DELETION,5.94198962566073e-51
Pan-Cancer,28040,purity_svTMB,ABCB1,600,+ as.factor(cohort) + as.factor(biopsy) + purity + purity_ploidy,0.0750815003865391,0.00504963880437214,8.1614472196261e-50,0.03,0.02,-0.02,1284,376,3564,52,16,48,0.04,0.04,0.01,Positive (p < .1),DELETION,8.1614472196261e-50
Pan-Cancer,28040,purity_svTMB,CDC73,592,+ as.factor(cohort) + as.factor(biopsy) + purity + purity_ploidy,0.0738194612521439,0.00503636986028953,1.83172745795501e-48,0.01,0,-0.02,1284,376,3564,36,8,44,0.03,0.02,0.01,Positive (p < .1),MUTATION,1.83172745795501e-48
Pan-Cancer,28040,purity_svTMB,DROSHA,408,+ as.factor(cohort) + as.factor(biopsy) + purity + purity_ploidy,0.0734825987504577,0.00503759049957033,5.11351161118348e-48,0,0.02,0.01,1284,376,3564,20,12,64,0.02,0.03,0.02,Positive (p < .1),MUTATION,5.11351161118348e-48
Pan-Cancer,28040,purity_svTMB,ZNF217,564,+ as.factor(cohort) + as.factor(biopsy) + purity + purity_ploidy,0.0736894933860302,0.00506759500019312,9.90669962291938e-48,0,0,-0.04,1284,376,3564,28,8,20,0.02,0.02,0.01,Positive (p < .1),AMPLIFICATION,9.90669962291938e-48
Pan-Cancer,28040,purity_svTMB,PPM1D,448,+ as.factor(cohort) + as.factor(biopsy) + purity + purity_ploidy,0.0726437526973068,0.00507412170752387,2.51673934379716e-46,0.01,0.01,-0.03,1284,376,3564,28,12,20,0.02,0.03,0.01,Positive (p < .1),AMPLIFICATION,2.51673934379716e-46
Pan-Cancer,28040,purity_svTMB,PTPN13,864,+ as.factor(cohort) + as.factor(biopsy) + purity + purity_ploidy,0.0720954225435565,0.00506428977439998,7.91800450137396e-46,0.04,0,0.04,1284,376,3564,76,12,172,0.06,0.03,0.05,Positive (p < .1),MUTATION,7.91800450137396e-46
Pan-Cancer,28040,purity_svTMB,ZNF703,984,+ as.factor(cohort) + as.factor(biopsy) + purity + purity_ploidy,0.072440405236763,0.00511397648895511,2.16076609642455e-45,-0.02,-0.01,-0.05,1284,376,3564,28,8,36,0.02,0.02,0.01,Positive (p < .1),AMPLIFICATION,2.16076609642455e-45
Pan-Cancer,28040,purity_svTMB,JAK2,268,+ as.factor(cohort) + as.factor(biopsy) + purity + purity_ploidy,0.0713505067653338,0.00503985904088225,2.41727069121471e-45,0.01,0,0.01,1284,376,3564,20,4,44,0.02,0.01,0.01,Positive (p < .1),AMPLIFICATION,2.41727069121471e-45
Pan-Cancer,28040,purity_svTMB,ZFHX3,952,+ as.factor(cohort) + as.factor(biopsy) + purity + purity_ploidy,0.0710005559098071,0.00504624982365581,8.26320980215548e-45,0.03,-0.02,0.01,1284,376,3564,72,4,132,0.06,0.01,0.04,Positive (p < .1),MUTATION,8.26320980215548e-45
Pan-Cancer,28040,purity_svTMB,DNM2,552,+ as.factor(cohort) + as.factor(biopsy) + purity + purity_ploidy,0.069579596654946,0.00504054214287939,3.34244036344191e-43,0,0.01,-0.02,1284,376,3564,28,12,48,0.02,0.03,0.01,Positive (p < .1),,3.34244036344191e-43
Pan-Cancer,28040,purity_svTMB,GMDS,228,+ as.factor(cohort) + as.factor(biopsy) + purity + purity_ploidy,0.0698378674825316,0.00507432041294053,5.87565750684403e-43,0.06,-0.01,-0.03,1284,376,3564,40,0,8,0.03,0,0,Positive (p < .1),DELETION,5.87565750684403e-43
Pan-Cancer,28040,purity_svTMB,KDM6A,1480,+ as.factor(cohort) + as.factor(biopsy) + purity + purity_ploidy,0.0694630792975461,0.00508604069151769,2.48749036927201e-42,0.04,0.01,0.03,1284,376,3564,120,28,252,0.09,0.07,0.07,Positive (p < .1),MUTATION,2.48749036927201e-42
Pan-Cancer,28040,purity_svTMB,CASZ1,632,+ as.factor(cohort) + as.factor(biopsy) + purity + purity_ploidy,0.0688735823333992,0.00504661876366078,2.85564066381138e-42,0.03,0,-0.01,1284,376,3564,52,8,72,0.04,0.02,0.02,Positive (p < .1),DELETION,2.85564066381138e-42
Pan-Cancer,28040,purity_svTMB,RB1,3296,+ as.factor(cohort) + as.factor(biopsy) + purity + purity_ploidy,0.0687588539415813,0.00517400505905524,3.53700642283291e-40,0.09,0,0.03,1284,376,3564,324,40,512,0.25,0.11,0.14,Positive (p < .1),MUTATION,3.53700642283291e-40
Pan-Cancer,28040,purity_svTMB,NOTCH2,636,+ as.factor(cohort) + as.factor(biopsy) + purity + purity_ploidy,0.0666140755017878,0.00506227634260164,1.98125638815837e-39,0,0.01,-0.01,1284,376,3564,32,12,64,0.02,0.03,0.02,Positive (p < .1),MUTATION,1.98125638815837e-39
Pan-Cancer,28040,purity_svTMB,GRIN2A,752,+ as.factor(cohort) + as.factor(biopsy) + purity + purity_ploidy,0.0663416551104291,0.00504808494493829,2.47643212326059e-39,0.01,0.01,0.02,1284,376,3564,40,16,132,0.03,0.04,0.04,Positive (p < .1),MUTATION,2.47643212326059e-39
Pan-Cancer,28040,purity_svTMB,STS,448,+ as.factor(cohort) + as.factor(biopsy) + purity + purity_ploidy,0.0656879281789428,0.00505176325349155,1.52254603506986e-38,0.03,-0.01,0.02,1284,376,3564,40,0,80,0.03,0,0.02,Positive (p < .1),DELETION,1.52254603506986e-38
Pan-Cancer,28040,purity_svTMB,FBXO11,344,+ as.factor(cohort) + as.factor(biopsy) + purity + purity_ploidy,0.0642464972789242,0.00504012694726515,4.11041678453658e-37,0.01,-0.01,0.02,1284,376,3564,20,0,60,0.02,0,0.02,Positive (p < .1),MUTATION,4.11041678453658e-37
Pan-Cancer,28040,purity_svTMB,RACGAP1,200,+ as.factor(cohort) + as.factor(biopsy) + purity + purity_ploidy,0.064097256562675,0.00503811023486982,5.61740044986136e-37,0.01,-0.01,0,1284,376,3564,16,0,28,0.01,0,0.01,Positive (p < .1),,5.61740044986136e-37
Pan-Cancer,28040,purity_svTMB,FOXP1,952,+ as.factor(cohort) + as.factor(biopsy) + purity + purity_ploidy,0.0640489412754093,0.0050431451166424,7.4573332102344e-37,0,-0.01,0.01,1284,376,3564,40,8,132,0.03,0.02,0.04,Positive (p < .1),MUTATION,7.4573332102344e-37
Pan-Cancer,28040,purity_svTMB,MGMT,436,+ as.factor(cohort) + as.factor(biopsy) + purity + purity_ploidy,0.0638044416682175,0.00503373690354542,1.02207429783153e-36,0.04,0,0.01,1284,376,3564,48,4,64,0.04,0.01,0.02,Positive (p < .1),MUTATION,1.02207429783153e-36
Pan-Cancer,28040,purity_svTMB,CD79B,220,+ as.factor(cohort) + as.factor(biopsy) + purity + purity_ploidy,0.0630938230825272,0.00505880586718753,1.31890043989115e-35,-0.01,-0.01,-0.02,1284,376,3564,4,0,8,0,0,0,Positive (p < .1),AMPLIFICATION,1.31890043989115e-35
Pan-Cancer,28040,purity_svTMB,CREBBP,1236,+ as.factor(cohort) + as.factor(biopsy) + purity + purity_ploidy,0.0627019486650018,0.00504975418408908,2.62448147796843e-35,0.04,-0.01,0,1284,376,3564,104,12,160,0.08,0.03,0.04,Positive (p < .1),MUTATION,2.62448147796843e-35
Pan-Cancer,28040,purity_svTMB,IGF1R,124,+ as.factor(cohort) + as.factor(biopsy) + purity + purity_ploidy,0.061785003931065,0.00504031083335603,1.86223339525308e-34,0,-0.01,-0.01,1284,376,3564,4,0,8,0,0,0,Positive (p < .1),AMPLIFICATION,1.86223339525308e-34
Pan-Cancer,28040,purity_svTMB,SDHC,260,+ as.factor(cohort) + as.factor(biopsy) + purity + purity_ploidy,0.0615123005334717,0.00504041383669693,3.62336654153782e-34,-0.01,0,-0.01,1284,376,3564,8,4,20,0.01,0.01,0.01,Positive (p < .1),DISRUPTION,3.62336654153782e-34
Pan-Cancer,28040,purity_svTMB,ATR,256,+ as.factor(cohort) + as.factor(biopsy) + purity + purity_ploidy,0.0599852440725675,0.00504164231300664,1.4535546208307e-32,0.05,0.01,0,1284,376,3564,40,8,32,0.03,0.02,0.01,Positive (p < .1),MUTATION,1.4535546208307e-32
Pan-Cancer,28040,purity_svTMB,FLT1,408,+ as.factor(cohort) + as.factor(biopsy) + purity + purity_ploidy,0.0599871477452381,0.00504441618407099,1.56437355191132e-32,0.02,0.02,-0.02,1284,376,3564,32,12,32,0.02,0.03,0.01,Positive (p < .1),MUTATION,1.56437355191132e-32
Pan-Cancer,28040,purity_svTMB,CHEK2,388,+ as.factor(cohort) + as.factor(biopsy) + purity + purity_ploidy,0.0594869410647632,0.00504345182805515,4.94052574855794e-32,0.05,-0.01,0.02,1284,376,3564,52,0,72,0.04,0,0.02,Positive (p < .1),MUTATION,4.94052574855794e-32
Pan-Cancer,28040,purity_svTMB,RNF43,956,+ as.factor(cohort) + as.factor(biopsy) + purity + purity_ploidy,0.0588172076503666,0.0050616339084886,3.83693742451777e-31,0,-0.01,-0.06,1284,376,3564,48,8,28,0.04,0.02,0.01,Positive (p < .1),MUTATION,3.83693742451777e-31
Pan-Cancer,28040,purity_svTMB,OR4F21,392,+ as.factor(cohort) + as.factor(biopsy) + purity + purity_ploidy,0.0585054949093176,0.00503860547768095,4.2487844609872e-31,0.03,-0.01,-0.02,1284,376,3564,40,0,32,0.03,0,0.01,Positive (p < .1),DELETION,4.2487844609872e-31
Pan-Cancer,28040,purity_svTMB,CBLB,364,+ as.factor(cohort) + as.factor(biopsy) + purity + purity_ploidy,0.0584043101305734,0.0050422094452832,5.90876110414638e-31,0.02,0.01,-0.02,1284,376,3564,28,8,24,0.02,0.02,0.01,Positive (p < .1),DELETION,5.90876110414638e-31
Pan-Cancer,28040,purity_svTMB,CCND1,1596,+ as.factor(cohort) + as.factor(biopsy) + purity + purity_ploidy,0.0592046775515159,0.00511955090150674,7.33641107953578e-31,-0.02,0.02,-0.03,1284,376,3564,44,36,140,0.03,0.1,0.04,Positive (p < .1),AMPLIFICATION,7.33641107953578e-31
Pan-Cancer,28040,purity_svTMB,PALB2,140,+ as.factor(cohort) + as.factor(biopsy) + purity + purity_ploidy,0.058216772688877,0.00503965247680157,8.49805384184652e-31,0.01,-0.01,-0.01,1284,376,3564,12,0,12,0.01,0,0,Positive (p < .1),MUTATION,8.49805384184652e-31
Pan-Cancer,28040,purity_svTMB,RAD54L,112,+ as.factor(cohort) + as.factor(biopsy) + purity + purity_ploidy,0.0576007596771399,0.00503919993957834,3.43444192307752e-30,0.02,0.01,-0.02,1284,376,3564,12,4,0,0.01,0.01,0,Positive (p < .1),DELETION,3.43444192307752e-30
Pan-Cancer,28040,purity_svTMB,CSMD1,444,+ as.factor(cohort) + as.factor(biopsy) + purity + purity_ploidy,0.0574391019312604,0.00505401732554397,7.26138115574291e-30,0.03,0,-0.01,1284,376,3564,40,4,44,0.03,0.01,0.01,Positive (p < .1),DELETION,7.26138115574291e-30
Pan-Cancer,28040,purity_svTMB,FANCA,308,+ as.factor(cohort) + as.factor(biopsy) + purity + purity_ploidy,0.0567648517014441,0.00504205453364399,2.43848300428313e-29,0,-0.01,-0.02,1284,376,3564,16,0,24,0.01,0,0.01,Positive (p < .1),MUTATION,2.43848300428313e-29
Pan-Cancer,28040,purity_svTMB,MECOM,228,+ as.factor(cohort) + as.factor(biopsy) + purity + purity_ploidy,0.0569314870673446,0.00505716785972097,2.45769874697825e-29,0,-0.01,-0.03,1284,376,3564,8,0,4,0.01,0,0,Positive (p < .1),AMPLIFICATION,2.45769874697825e-29
Pan-Cancer,28040,teal_final_ratio,CREBBP,1236,+ as.factor(cohort) + as.factor(biopsy) + purity + purity_ploidy,0.0392976706939061,0.00349285608314908,2.65121041810816e-29,0.04,-0.01,0,1284,376,3564,104,12,160,0.08,0.03,0.04,Positive (p < .1),MUTATION,2.62448147796843e-35
Pan-Cancer,28040,purity_svTMB,RAD51C,256,+ as.factor(cohort) + as.factor(biopsy) + purity + purity_ploidy,0.0565898346039247,0.00504206256575744,3.60758310208533e-29,-0.01,0.03,-0.03,1284,376,3564,8,12,8,0.01,0.03,0,Positive (p < .1),MUTATION,3.60758310208533e-29
Pan-Cancer,28040,teal_final_ratio,MECOM,228,+ as.factor(cohort) + as.factor(biopsy) + purity + purity_ploidy,0.0391520264460849,0.00349635031849627,4.81023624331065e-29,0,-0.01,-0.03,1284,376,3564,8,0,4,0.01,0,0,Positive (p < .1),AMPLIFICATION,2.45769874697825e-29
Pan-Cancer,28040,purity_svTMB,BMPR2,460,+ as.factor(cohort) + as.factor(biopsy) + purity + purity_ploidy,0.0560189348798558,0.00503985527337122,1.21520750299441e-28,0,-0.01,-0.02,1284,376,3564,24,4,36,0.02,0.01,0.01,Positive (p < .1),MUTATION,1.21520750299441e-28
Pan-Cancer,28040,purity_svTMB,FGFR1,1116,+ as.factor(cohort) + as.factor(biopsy) + purity + purity_ploidy,0.056306802809336,0.00508254155329846,1.82900981167974e-28,-0.01,-0.02,-0.05,1284,376,3564,36,4,44,0.03,0.01,0.01,Positive (p < .1),AMPLIFICATION,1.82900981167974e-28
Pan-Cancer,28040,teal_final_ratio,TP53,15480,+ as.factor(cohort) + as.factor(biopsy) + purity + purity_ploidy,0.0412080180606733,0.00374990043807095,4.92145710501251e-28,0.1,-0.02,-0.1,1284,376,3564,996,180,1488,0.78,0.48,0.42,Positive (p < .1),MUTATION,0
Pan-Cancer,28040,purity_svTMB,PUDP,400,+ as.factor(cohort) + as.factor(biopsy) + purity + purity_ploidy,0.0550441661278996,0.00504763378154475,1.24089665363382e-27,0.04,-0.01,0,1284,376,3564,44,0,56,0.03,0,0.02,Positive (p < .1),DELETION,1.24089665363382e-27
Pan-Cancer,28040,purity_svTMB,FGF3,1456,+ as.factor(cohort) + as.factor(biopsy) + purity + purity_ploidy,0.0558466396415466,0.00512229736169735,1.27239505844978e-27,-0.02,0.02,-0.03,1284,376,3564,40,36,116,0.03,0.1,0.03,Positive (p < .1),AMPLIFICATION,1.27239505844978e-27
Pan-Cancer,28040,purity_svTMB,ERBB2,1600,+ as.factor(cohort) + as.factor(biopsy) + purity + purity_ploidy,0.0564603809034377,0.00519802305308822,1.98626799762274e-27,-0.02,-0.01,0,1284,376,3564,52,12,212,0.04,0.03,0.06,Positive (p < .1),AMPLIFICATION,1.98626799762274e-27
Pan-Cancer,28040,purity_svTMB,FANCL,232,+ as.factor(cohort) + as.factor(biopsy) + purity + purity_ploidy,0.0546793375000547,0.00503914346773311,2.23872922389717e-27,0.01,0.02,0,1284,376,3564,16,8,28,0.01,0.02,0.01,Positive (p < .1),MUTATION,2.23872922389717e-27
Pan-Cancer,28040,purity_svTMB,FANCD2,316,+ as.factor(cohort) + as.factor(biopsy) + purity + purity_ploidy,0.0543140303897348,0.00504349982797898,5.44087897608991e-27,0,-0.01,0,1284,376,3564,16,0,36,0.01,0,0.01,Positive (p < .1),MUTATION,5.44087897608991e-27
Pan-Cancer,28040,purity_svTMB,STAG2,488,+ as.factor(cohort) + as.factor(biopsy) + purity + purity_ploidy,0.0543544505727621,0.00505124995682131,5.96592952753539e-27,0.02,-0.02,0.06,1284,376,3564,40,0,132,0.03,0,0.04,Positive (p < .1),MUTATION,5.96592952753539e-27
Pan-Cancer,28040,purity_svTMB,FANCC,364,+ as.factor(cohort) + as.factor(biopsy) + purity + purity_ploidy,0.0540425001462217,0.00504503398545534,1.00731270806396e-26,0.02,0.02,0,1284,376,3564,28,12,44,0.02,0.03,0.01,Positive (p < .1),DELETION,1.00731270806396e-26
Pan-Cancer,28040,purity_svTMB,PABPC1,652,+ as.factor(cohort) + as.factor(biopsy) + purity + purity_ploidy,0.0542455931174353,0.00506963046804197,1.144967445559e-26,-0.01,-0.01,-0.01,1284,376,3564,20,4,72,0.02,0.01,0.02,Positive (p < .1),AMPLIFICATION,1.144967445559e-26
Pan-Cancer,28040,purity_svTMB,SPTAN1,396,+ as.factor(cohort) + as.factor(biopsy) + purity + purity_ploidy,0.0537827397740218,0.00504472986486287,1.73863719837496e-26,0,0.02,0.04,1284,376,3564,20,12,92,0.02,0.03,0.03,Positive (p < .1),MUTATION,1.73863719837496e-26
Pan-Cancer,28040,purity_svTMB,PTPRD,872,+ as.factor(cohort) + as.factor(biopsy) + purity + purity_ploidy,0.053823394297187,0.00506132162370422,2.31872738599925e-26,0.03,0,0.01,1284,376,3564,68,12,128,0.05,0.03,0.04,Positive (p < .1),DELETION,2.31872738599925e-26
Pan-Cancer,28040,purity_svTMB,CUL3,308,+ as.factor(cohort) + as.factor(biopsy) + purity + purity_ploidy,0.0534014886089395,0.00504580815329464,3.98983296107402e-26,0,0.01,-0.02,1284,376,3564,12,8,16,0.01,0.02,0,Positive (p < .1),MUTATION,3.98983296107402e-26
Pan-Cancer,28040,purity_svTMB,ANKRD11,84,+ as.factor(cohort) + as.factor(biopsy) + purity + purity_ploidy,0.053280336903592,0.00504325254593122,4.86466194843372e-26,0.03,-0.01,-0.01,1284,376,3564,12,0,8,0.01,0,0,Positive (p < .1),DELETION,4.86466194843372e-26
