Cohort,Treatment,Biomarkers,Gene,Event,Association,Measurement,Evidence,Protein,Function,Database,Citations
Lung NSCLC,Chemotherapy,EGFR,EGFR,Mutation,Response,"PCR, NGS, IHC",High,Receptor tyrosine kinase,"EGFR mutations predict response to EGFR TKIs, but may affect chemo sensitivity","TCGA, COSMIC","https://pmc.ncbi.nlm.nih.gov/articles/PMC6025105/, https://www.frontiersin.org/journals/oncology-reviews/articles/10.3389/or.2024.1445826/full"
Lung NSCLC,Chemotherapy,ALK,ALK,Rearrangement,Response,"FISH, IHC, NGS",High,Receptor tyrosine kinase,"ALK rearrangement predicts response to ALK inhibitors, may affect chemo response","TCGA, COSMIC","https://pmc.ncbi.nlm.nih.gov/articles/PMC6025105/, https://www.frontiersin.org/journals/oncology-reviews/articles/10.3389/or.2024.1445826/full"
Lung NSCLC,Chemotherapy,ROS1,ROS1,Rearrangement,Response,"FISH, IHC, NGS",High,Receptor tyrosine kinase,"ROS1 rearrangement predicts response to ROS1 inhibitors, may affect chemo response","TCGA, COSMIC",https://www.frontiersin.org/journals/oncology-reviews/articles/10.3389/or.2024.1445826/full
Lung NSCLC,Chemotherapy,PD-L1,CD274,Expression,Response,IHC,High,Immune checkpoint,High PD-L1 expression predicts response to immunotherapy ± chemo,"TCGA, GEO","https://pmc.ncbi.nlm.nih.gov/articles/PMC6025105/, https://www.frontiersin.org/journals/oncology-reviews/articles/10.3389/or.2024.1445826/full"
Lung NSCLC,Immunotherapy,Tumor Mutational Burden (TMB),Multiple,Somatic Mutations,Response,"NGS, WES",High,N/A (genomic signature),"High TMB increases neoantigen load, enhancing immune recognition","TCGA, COSMIC","https://pmc.ncbi.nlm.nih.gov/articles/PMC7471728/, https://pmc.ncbi.nlm.nih.gov/articles/PMC10418476/"
Lung NSCLC,Immunotherapy,EGFR Mutation,EGFR,Mutation,Non-response,"PCR, NGS",High,Receptor tyrosine kinase,EGFR mutations linked to poor ICI response,"TCGA, COSMIC",https://pcm.amegroups.org/article/view/7603/html
Lung NSCLC,Immunotherapy,ALK Rearrangement,ALK,Rearrangement,Non-response,"FISH, NGS",High,Receptor tyrosine kinase,ALK fusions associated with poor ICI response,"TCGA, COSMIC",https://pcm.amegroups.org/article/view/7603/html
Lung NSCLC,Immunotherapy,ROS1 Rearrangement,ROS1,Rearrangement,Non-response,"FISH, NGS",High,Receptor tyrosine kinase,ROS1 fusions associated with poor ICI response,"TCGA, COSMIC",https://pcm.amegroups.org/article/view/7603/html
Ovary,Chemotherapy,BRCA2,BRCA2,Mutation,Response,"PCR, NGS, IHC",High,DNA repair enzyme,Similar to BRCA1; predicts better response to platinum chemotherapy,"TCGA, COSMIC",https://www.targetedonc.com/view/the-role-of-biomarker-testing-in-ovarian-cancer
Ovary,Chemotherapy,HRD Score,Multiple,Genomic instability,Response,"Genomic scar assay, NGS",High,N/A (composite),High HRD score predicts sensitivity to platinum and PARP inhibitors,TCGA,https://www.targetedonc.com/view/the-role-of-biomarker-testing-in-ovarian-cancer
Pan-Cancer,Alkaloid,p53,TP53,Mutation,Non-response,"Somatic Mutations, IHC",High,Tumor suppressor,"Loss of function impairs apoptosis, reducing response to alkaloids","TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC8716855/
Pan-Cancer,Alkaloid,BRCA1,BRCA1,Mutation,Response,"Somatic Mutations, PCR",High,DNA repair protein,Deficiency sensitizes cells to DNA-damaging alkaloids,"TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC8716855/
Pan-Cancer,Alkylating,SLFN11,SLFN11,Expression,Response,"RNA-seq, IHC, promoter methylation",High,Enzyme-like protein,Promotes cell death in response to DNA damage; high expression predicts sensitivity to alkylating agents.,"TCGA, GEO","https://journals.plos.org/plosone/article/file?id=10.1371%2Fjournal.pone.0224267&type=printable, https://journals.plos.org/plosone/article?id=10.1371%2Fjournal.pone.0224267"
Pan-Cancer,Alkylating,MGMT,MGMT,"Promoter methylation, mutation","Non-response (when active), Response (when methylated)","Methylation-specific PCR, IHC, sequencing",High,DNA repair enzyme,"Repairs alkylated DNA; active MGMT confers resistance, methylation predicts response.","TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC9019174/
Pan-Cancer,Anti-AR,AR Amplification,AR,Amplification,Non-response,"DNA copy number (WES, FISH)",High,Nuclear receptor,Increased AR gene copies drive resistance by sustaining AR signaling despite therapy,"TCGA, COSMIC","https://pmc.ncbi.nlm.nih.gov/articles/PMC8750084/, https://www.spandidos-publications.com/10.3892/wasj.2025.313, https://www.mdpi.com/2072-6694/13/22/5723"
Pan-Cancer,Anti-AR,AR-V7,AR,Splice Variant,Non-response,"RT-PCR, RNA-seq",High,Nuclear receptor,"Constitutively active AR variant, bypasses ligand blockade","GEO, TCGA","https://www.spandidos-publications.com/10.3892/wasj.2025.313, https://www.mdpi.com/2072-6694/13/22/5723"
Pan-Cancer,Anti-AR,TP53 Mutation,TP53,Mutation,Non-response,"WES, targeted sequencing",High,Tumor suppressor,"Disrupts cell cycle control, associated with poor response","TCGA, COSMIC","https://pmc.ncbi.nlm.nih.gov/articles/PMC5955785/, https://www.mdpi.com/2072-6694/13/22/5723"
Pan-Cancer,Anti-AR,PTEN Loss,PTEN,Deletion/Mutation,Non-response,"IHC, WES",High,Phosphatase,"Loss activates PI3K/AKT pathway, conferring resistance","TCGA, COSMIC",https://www.mdpi.com/2072-6694/13/22/5723
Pan-Cancer,Anti-AR,PSA (KLK3),KLK3,Overexpression,Response,"Serum ELISA, IHC",High,Serine protease,Decrease in PSA indicates response to AR-targeted therapy,"TCGA, GEO",https://www.mdpi.com/2072-6694/13/22/5723
Pan-Cancer,Anti-CTLA-4,CTLA-4,CTLA4,Amplification,Response,"RNA-seq, IHC",High,Immune checkpoint,Inhibits T cell activation; target of therapy,"TCGA, TIMER",https://pmc.ncbi.nlm.nih.gov/articles/PMC11973099/
Pan-Cancer,Anti-CTLA-4,PD-1,PDCD1,Amplification,Non-response,"RNA-seq, IHC",High,Immune checkpoint,Marker of T cell exhaustion; high expression linked to immune evasion,"TCGA, TIMER",https://pmc.ncbi.nlm.nih.gov/articles/PMC11973099/
Pan-Cancer,Anti-CTLA-4,CD8+ Memory T Cells,CD8A,N/A,Response,"CyTOF, Flow cytometry",High,T cell marker,Presence indicates robust anti-tumor immunity,"GEO, TCGA","https://pmc.ncbi.nlm.nih.gov/articles/PMC5840795/, https://pubmed.ncbi.nlm.nih.gov/29510697/"
Pan-Cancer,Anti-CTLA-4,CD4+ Memory T Cells,CD4,N/A,Response,"CyTOF, Flow cytometry",High,T cell marker,Associated with effective immune response,"GEO, TCGA","https://pmc.ncbi.nlm.nih.gov/articles/PMC5840795/, https://pubmed.ncbi.nlm.nih.gov/29510697/"
Pan-Cancer,Anti-CTLA-4,Tumor Mutational Burden (TMB),Multiple,Mutation,Response,"WES, NGS",High,N/A (genomic feature),"High TMB increases neoantigen load, enhancing immune recognition","TCGA, COSMIC",https://jitc.bmj.com/content/8/Suppl_3/A46
Pan-Cancer,Anti-EGFR,BRAF V600E,BRAF,Mutation,Non-response,"Somatic mutation (NGS, PCR)",High,Kinase (enzyme),"Constitutive MAPK activation, reduces anti-EGFR efficacy","TCGA, COSMIC","https://pmc.ncbi.nlm.nih.gov/articles/PMC4974592/, https://www.binasss.sa.cr/set21/46.pdf"
Pan-Cancer,Anti-PD-1,T cell–inflamed GEP,Multiple,Expression,Response,"RNA-seq, gene expression profiling",High,N/A (Gene Signature),Reflects pre-existing immune activation in tumor microenvironment,"TCGA, GEO",https://www.science.org/doi/10.1126/science.aar3593
Pan-Cancer,Anti-PD-1,MMR Deficiency,"MLH1, MSH2, etc.","Mutation, Deletion",Response,"PCR, IHC, NGS",High,Enzyme,Defective mismatch repair increases neoantigen load,"TCGA, COSMIC",https://www.cancernetwork.com/view/print-biomarkers-for-response-to-anti-pd-1-anti-pd-l1-immune-checkpoint-inhibitors-a-large-meta-analysis
Pan-Cancer,Anti-PD-1,STK11/LKB1,STK11,"Mutation, Deletion",Non-response,"NGS, PCR",High,Kinase,"Loss impairs immune infiltration, linked to resistance","TCGA, COSMIC",https://www.cancernetwork.com/view/print-biomarkers-for-response-to-anti-pd-1-anti-pd-l1-immune-checkpoint-inhibitors-a-large-meta-analysis
Pan-Cancer,Anti-VEGF,VEGFA,VEGFA,"Amplification, Overexpression",Response/Non-response,"RNA-seq, IHC, ELISA",High,Growth factor,Central mediator of angiogenesis; target of anti-VEGF therapy,"TCGA, GEO",https://pmc.ncbi.nlm.nih.gov/articles/PMC9667458/
Pan-Cancer,Anti-VEGF,VEGFR2,KDR,"Amplification, Mutation",Response/Non-response,"IHC, RNA-seq, PCR",High,Receptor tyrosine kinase,Main receptor for VEGFA; mediates angiogenic signaling,"TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC9667458/
Pan-Cancer,Aromatase inhibitor,TP53 Mutation,TP53,Mutation,Non-response,Somatic mutation analysis,High,Tumor suppressor,TP53 mutations linked to poor AI response and aggressive tumor phenotype,"TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC10328947/
Pan-Cancer,Aromatase inhibitor,HER2,ERBB2,Amplification,Non-response,"IHC, FISH, Copy number",High,Receptor tyrosine kinase,"HER2 amplification drives growth independent of estrogen, reducing AI efficacy","TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC10328947/
Pan-Cancer,Aromatase inhibitor,Ki67,MKI67,Overexpression,Non-response,IHC,High,Proliferation marker,High proliferation index predicts poor response to AI,"TCGA, GEO",https://pmc.ncbi.nlm.nih.gov/articles/PMC10328947/
Pan-Cancer,Chemotherapy,TP53 Mutation,TP53,Mutation,Non-response,"NGS, PCR",High,Transcription factor,Tumor suppressor; mutations linked to resistance to DNA-damaging agents,"TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC10073273/
Pan-Cancer,Chemotherapy,BRCA1/2 Mutation,BRCA1/2,Mutation,Response,"NGS, PCR",High,DNA repair enzyme,Deficiency sensitizes to platinum-based chemo,"TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC10073273/
Pan-Cancer,Chemotherapy,MGMT Methylation,MGMT,Promoter methyl.,Response,Methylation-specific PCR,High,DNA repair enzyme,"Methylation silences gene, increases alkylating agent sensitivity","TCGA, COSMIC",https://www.binasss.sa.cr/set21/46.pdf
Pan-Cancer,Chemotherapy,TP53,TP53,Mutation,Non-response,"NGS, PCR",High,Transcription factor,Tumor suppressor; mutations linked to resistance to DNA-damaging agents,"TCGA, COSMIC","https://pmc.ncbi.nlm.nih.gov/articles/PMC10073273/, https://www.binasss.sa.cr/set21/46.pdf"
Pan-Cancer,Chemotherapy,BRCA1/2,BRCA1/2,Mutation,Response,"NGS, PCR",High,DNA repair enzyme,HRD mutations sensitize to platinum-based chemo,"TCGA, COSMIC","https://pmc.ncbi.nlm.nih.gov/articles/PMC10073273/, https://www.binasss.sa.cr/set21/46.pdf"
Pan-Cancer,Chemotherapy,ERCC1,ERCC1,Overexpression,Non-response,"IHC, qPCR",High,DNA repair enzyme,High expression linked to platinum resistance,"TCGA, COSMIC",https://www.binasss.sa.cr/set21/46.pdf
Pan-Cancer,Chemotherapy,MGMT,MGMT,Methylation,Response,Methylation-specific PCR,High,DNA repair enzyme,Promoter methylation predicts response to alkylating agents,"TCGA, COSMIC",https://www.binasss.sa.cr/set21/46.pdf
Pan-Cancer,Chemotherapy,TP53,TP53,Mutation,Non-response,"Somatic mutation (NGS, PCR)",High,Transcription factor,Tumor suppressor; mutations linked to poor chemo response,"TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC10073273/
Pan-Cancer,Chemotherapy,BRCA1/2,BRCA1/2,Mutation,Response,Germline/somatic mutation (NGS),High,DNA repair enzyme,Deficiency sensitizes to platinum-based chemo,"TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC10073273/
Pan-Cancer,Chemotherapy,ERCC1,ERCC1,Overexpression,Non-response,"RNA-seq, IHC",High,DNA repair enzyme,High levels confer resistance to platinum chemo,"TCGA, GEO, COSMIC",https://www.binasss.sa.cr/set21/46.pdf
Pan-Cancer,Chemotherapy,MGMT,MGMT,Methylation,Response,Methylation-specific PCR,High,DNA repair enzyme,Promoter methylation predicts response to alkylating agents,"TCGA, COSMIC",https://www.binasss.sa.cr/set21/46.pdf
Pan-Cancer,Folinic acid,Thymidylate Synthase (TS),TYMS,"Amplification, Overexpression",Non-response,"IHC, RNA-seq, PCR",High,Enzyme,High TS expression reduces 5-FU/FA efficacy by increasing dTMP synthesis,"TCGA, COSMIC",https://www.oncotarget.com/article/27872/text/
Pan-Cancer,Folinic acid,Dihydropyrimidine Dehydrogenase (DPYD),DPYD,"Mutation, Deletion",Non-response,"PCR, NGS, Enzyme assay",High,Enzyme,"DPYD deficiency increases 5-FU toxicity, affecting FA-based therapy","TCGA, COSMIC",https://www.oncotarget.com/article/27872/text/
Pan-Cancer,Folinic acid,RAS (KRAS/NRAS),KRAS/NRAS,Mutation,Non-response,"PCR, NGS",High,GTPase,RAS mutations predict poor response to FA/5-FU + anti-EGFR therapy,"TCGA, COSMIC","https://pubmed.ncbi.nlm.nih.gov/37018649/, https://www.oncotarget.com/article/27872/text/"
Pan-Cancer,Folinic acid,BRAF,BRAF,Mutation,Non-response,"PCR, NGS",High,Kinase,BRAF V600E mutation linked to poor prognosis and reduced FA therapy response,"TCGA, COSMIC",https://pubmed.ncbi.nlm.nih.gov/37018649/
